County Name,Year,PM25_Avg,State Name
Allen,2010,13.8271655,Indiana
Allen,2011,11.222312500000001,Indiana
Allen,2012,12.000703999999999,Indiana
Allen,2013,9.610861666666667,Indiana
Allen,2014,11.443007,Indiana
Allen,2015,10.571007333333334,Indiana
Allen,2016,8.360152666666666,Indiana
Allen,2017,8.151872000000001,Indiana
Allen,2018,8.721547000000001,Indiana
Allen,2019,8.94051,Indiana
Delaware,2010,12.787387,Indiana
Delaware,2011,10.991964,Indiana
Delaware,2012,9.868908,Indiana
Delaware,2013,9.752101,Indiana
Delaware,2014,10.261864,Indiana
Delaware,2015,8.904348,Indiana
Delaware,2016,7.713934,Indiana
Delaware,2017,7.689565,Indiana
Delaware,2018,8.366667,Indiana
Delaware,2019,8.335,Indiana
Hamilton,2010,12.458839,Indiana
Hamilton,2011,11.156734,Indiana
Hamilton,2012,10.790592,Indiana
Hamilton,2013,10.474716,Indiana
Hamilton,2014,10.182261,Indiana
Hamilton,2015,8.8866815,Indiana
Hamilton,2016,8.5016455,Indiana
Hamilton,2017,7.664388499999999,Indiana
Hamilton,2018,8.2110365,Indiana
Hamilton,2019,9.2344905,Indiana
Lake,2010,13.3878872,Indiana
Lake,2011,11.911575000000001,Indiana
Lake,2012,11.382456666666666,Indiana
Lake,2013,11.231954,Indiana
Lake,2014,12.177615874999999,Indiana
Lake,2015,10.496989428571428,Indiana
Lake,2016,8.84635342857143,Indiana
Lake,2017,8.834713857142857,Indiana
Lake,2018,9.770985111111111,Indiana
Lake,2019,9.5722329,Indiana
Marion,2010,14.36250625,Indiana
Marion,2011,13.8012974,Indiana
Marion,2012,11.982108444444444,Indiana
Marion,2013,11.813486875,Indiana
Marion,2014,12.239722666666667,Indiana
Marion,2015,10.975412777777779,Indiana
Marion,2016,9.717540399999999,Indiana
Marion,2017,9.4246282,Indiana
Marion,2018,10.1241355,Indiana
Marion,2019,10.2572319,Indiana
Monroe,2010,11.7592385,Indiana
Monroe,2011,10.573574,Indiana
Monroe,2012,8.642471500000001,Indiana
Monroe,2013,8.7343255,Indiana
Monroe,2014,9.223315,Indiana
Monroe,2015,8.012502999999999,Indiana
Monroe,2016,6.69515,Indiana
Monroe,2017,6.886439,Indiana
Monroe,2018,8.809845,Indiana
Monroe,2019,7.3827315,Indiana
St. Joseph,2010,12.536489333333334,Indiana
St. Joseph,2011,11.380861,Indiana
St. Joseph,2012,11.027030333333332,Indiana
St. Joseph,2013,10.598815,Indiana
St. Joseph,2014,10.784233333333333,Indiana
St. Joseph,2015,10.490974333333334,Indiana
St. Joseph,2016,8.717085666666668,Indiana
St. Joseph,2017,8.101114,Indiana
St. Joseph,2018,8.788996666666666,Indiana
St. Joseph,2019,8.087715,Indiana
Tippecanoe,2010,12.483789,Indiana
Tippecanoe,2011,11.082208,Indiana
Tippecanoe,2012,11.08567425,Indiana
Tippecanoe,2013,10.75965075,Indiana
Tippecanoe,2014,9.813180000000001,Indiana
Tippecanoe,2015,9.404194333333333,Indiana
Tippecanoe,2016,7.549539,Indiana
Tippecanoe,2017,8.210776333333333,Indiana
Tippecanoe,2018,8.507675666666666,Indiana
Tippecanoe,2019,8.776353,Indiana
Vanderburgh,2010,13.0374892,Indiana
Vanderburgh,2011,12.5109275,Indiana
Vanderburgh,2012,11.01589825,Indiana
Vanderburgh,2013,10.6497816,Indiana
Vanderburgh,2014,11.519806,Indiana
Vanderburgh,2015,10.3173168,Indiana
Vanderburgh,2016,8.85936525,Indiana
Vanderburgh,2017,8.58330825,Indiana
Vanderburgh,2018,9.05415025,Indiana
Vanderburgh,2019,8.270670333333333,Indiana
